Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind klettert selbstständig auf eine Kletterwand;Bewegung und Gesundheit;Bewegung;Grobmotorik, Kraft;Förderung der Muskelkraft und Koordination;4+ Jahre;Klettergerüst, Kletterwand im Park besuchen, Kletterwettbewerb veranstalten
Das Kind balanciert auf einer umgedrehten Bank;Bewegung und Gesundheit;Bewegung;Gleichgewichtssinn;Förderung der Körperspannung und des Gleichgewichts;3+ Jahre;Balancierparcours, Slackline, „Über die Brücke“ (Spiel mit Seilen und Stangen)
Das Kind zieht sich nach dem Toben in eine Kuschelecke zurück;Bewegung und Gesundheit;Gesundheit;Selbstregulation;Das Kind erkennt körperliche Erschöpfung und sorgt eigenständig für Erholung;4+ Jahre;Ruheinseln gestalten, Bücherkisten in Kuschelecken, Gespräch über Erholung
Das Kind sagt: „Ich brauch jetzt eine Pause“ nach dem Rennen;Bewegung und Gesundheit;Gesundheit;Selbstregulation;Das Kind lernt, seine körperlichen Grenzen wahrzunehmen und entsprechend zu handeln;5+ Jahre;Pausenampel, Gespräch über Körpergefühle, „Mein Körper braucht“-Karten
Das Kind trinkt Wasser nach dem Spielen im Garten;Bewegung und Gesundheit;Gesundheit;Körperbedürfnisse;Das Kind entwickelt ein Gespür für körperliche Signale wie Durst;3+ Jahre;Getränkestation einrichten, Durst-Dialogkarten, Wasserkaraffen zur freien Verfügung
Das Kind sagt beim Essen: „Ich bin satt“ und hört auf zu essen;Bewegung und Gesundheit;Gesundheit;Hunger und Sättigung;Das Kind lernt, Sättigung zu erkennen und ernst zu nehmen;3+ Jahre;Buffet-Modelle, Gespräche über Sattsein, Essensrituale ohne Druck
Das Kind wählt lieber eine ruhige Aktivität, wenn es müde ist;Bewegung und Gesundheit;Gesundheit;Selbstregulation;Das Kind entwickelt ein Bewusstsein für Energiehaushalt;4+ Jahre;Aktivitätskarten mit Energiebalken, „Wie fühle ich mich heute“-Kreise, Ruhezonenwahl
Das Kind gähnt und legt sich freiwillig zum Mittagsschlaf;Bewegung und Gesundheit;Gesundheit;Schlaf-Wach-Rhythmus;Das Kind erkennt Müdigkeit und nutzt Erholungsangebote;3+ Jahre;Schlafrituale, Kuschelplätze mit Hörbüchern, Traummusikspiel
Das Kind sagt: „Ich will nicht mehr mitspielen, mir ist zu warm“;Bewegung und Gesundheit;Gesundheit;Selbstwahrnehmung;Das Kind erkennt äußere Belastungen und reagiert angemessen;4+ Jahre;Wettergespräch im Morgenkreis, Rückzugsort im Schatten, „Fühl dich wohl“-Station
Das Kind signalisiert nach dem Turnen: „Mein Herz klopft so doll“;Bewegung und Gesundheit;Gesundheit;Körperwahrnehmung;Das Kind lernt, körperliche Reaktionen auf Anstrengung zu deuten;5+ Jahre;Pulsfühlen-Übungen, Körperzeichen benennen, Gespräch über Herzschlag
Das Kind bleibt beim Spaziergang stehen und ruht sich aus;Bewegung und Gesundheit;Bewegung;Selbstregulation;Das Kind erkennt körperliche Ermüdung und handelt entsprechend;3+ Jahre;Spaziergang mit Ruhepausen, Tierkartensuche mit Stopps, Gespräch über Erschöpfung
Das Kind äußert: „Ich mag nicht rennen, ich bin noch müde“;Bewegung und Gesundheit;Gesundheit;Selbstwahrnehmung;Das Kind kann seine momentane körperliche Verfassung einschätzen;4+ Jahre;Bewegungswahl ermöglichen, Energiekarten im Morgenkreis, Gespräch über Fitsein
Das Kind bittet nach dem Spielen um ein Glas Wasser;Bewegung und Gesundheit;Gesundheit;Körperbedürfnisse;Das Kind nimmt eigene Bedürfnisse bewusst wahr;3+ Jahre;Selbstbedienung am Wasserspender, Gespräch über Durst, Trinkrituale
Das Kind sagt: „Ich will jetzt nicht springen, ich brauch Pause“;Bewegung und Gesundheit;Bewegung;Selbstregulation;Das Kind grenzt sich von Bewegungsimpulsen ab, wenn es erschöpft ist;4+ Jahre;Freie Bewegungswahl, Bewegungstagebuch, „Was tut mir gut“-Karten
Das Kind zieht sich bei Lärm in einen ruhigeren Bereich zurück;Bewegung und Gesundheit;Gesundheit;Reizregulation;Das Kind erkennt Überreizung und sucht aktiv Rückzug;4+ Jahre;Ruheschachteln, Geräuschpegel-Messung, Klangspiele mit leisem Charakter
Das Kind legt sich beim Vorlesen auf ein Kissen und atmet tief;Bewegung und Gesundheit;Gesundheit;Achtsamkeit und Entspannung;Das Kind nutzt bewusste Körperhaltung zur Entspannung;5+ Jahre;Atemübungen, Fantasiereisen, Yogageschichten
