Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind sagt nach einem Wutanfall: „Ich hätte lieber ruhig gezählt“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Reflexion emotionaler Strategien;Förderung von metakognitivem Denken und Lernbereitschaft;5+ Jahre;Gefühls-Tagebuch, Geschichten über starke Emotionen, Emotionsplakate gestalten
Das Kind läuft wütend davon, kommt aber später zurück und spricht darüber;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Selbstregulation nach Rückzug;Förderung von Emotionsverarbeitung und Konfliktlösung;5+ Jahre;Ruheecken einrichten, Gefühlsuhren nutzen, „Ich komm zurück“-Rituale
Das Kind schreit „Hör auf!“ und verlässt das Spiel;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Grenzsetzung;Förderung von Ich-Stärke und Selbstschutz;4+ Jahre;Stopp-Regel üben, Rollenspiele zu Nein-Sagen, Gespräch über unangenehme Gefühle
Das Kind sagt: „Ich bin traurig, ich brauch einen Kuschelplatz“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Gefühlsäußerung;Förderung von emotionalem Ausdruck und Bedürfnisbenennung;3+ Jahre;Gefühlsbilder, Kuschelecke, Gespräche über Traurigkeit
Das Kind wirft ein Spielzeug vor Wut und sagt danach: „Das war doof“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Impulskontrolle;Förderung von Emotionsbewusstsein und Regulation;4+ Jahre;Wutgeschichten, Emotionsampel, Wutball einsetzen
Das Kind verkriecht sich unter den Tisch und weint leise;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Rückzug bei Überforderung;Förderung von Selbstschutzverhalten und Sensibilität;3+ Jahre;Geborgene Rückzugsorte, Kuscheltiere, leise Musik
Das Kind schreit laut: „Immer ich zuerst!“ und stampft;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Frustrationstoleranz;Förderung von alternativen Strategien im Umgang mit Ärger;4+ Jahre;Warten-Übungen, Streitgeschichten, Rollentausch-Spiele
Das Kind sagt beim Abschied: „Ich will aber nicht, dass du gehst!“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Trennungsverarbeitung;Förderung von Bindungssicherheit und Gefühlsbewusstsein;3+ Jahre;Abschiedsrituale, Gefühlsbücher, Ich-halte-dich-im-Herz-Fotos
Das Kind ballt die Fäuste, atmet tief durch und bleibt ruhig;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Bewusste Emotionssteuerung;Förderung von Selbstwirksamkeit im Umgang mit Wut;5+ Jahre;Atemübungen, Stopp-Geschichten, „Ich bleibe ruhig“-Karten
Das Kind sagt: „Ich bin wütend, ich will kurz alleine sein“;Emotionen und soziale Beziehungen;Emotionale Selbstregulation;Selbstregulation durch Rückzug;Förderung von Strategien zur Reizreduktion;4+ Jahre;Ruhezeichen, eigene Rückzugsorte, Gespräch über Alleinsein
