Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind sagt, dass jemand „komisch spricht“ und lacht darüber.;Ethik und Gesellschaft;Gesellschaft;Vielfalt und Akzeptanz;Das Kind versteht, dass Menschen unterschiedlich sind und jeder respektiert wird.;4+;Geschichten über Vielfalt, „Jedes Kind ist anders“-Lied, Interkultureller Tag.
Das Kind zeigt Interesse an Mülltrennung und fragt, warum das wichtig ist.;Ethik und Gesellschaft;Ethik;Umweltbewusstsein;Das Kind versteht, warum Nachhaltigkeit wichtig ist.;4+;Mülltrennspiel, Upcycling-Basteln, Müllsammelaktion im Park.
Das Kind fragt, warum ein anderes Kind eine andere Hautfarbe hat.;Ethik und Gesellschaft;Gesellschaft;Vielfalt;Das Kind erkennt, dass Menschen verschieden sind und alle gleich wertvoll sind.;3+;Bilderbuch „Meine bunte Welt“, Fingerabdruck-Vergleich, Weltkarte mit Fotos der Kinder.
Das Kind lacht über ein Kind, das andere Kleidung trägt als die Gruppe.;Ethik und Gesellschaft;Gesellschaft;Toleranz;Das Kind erkennt, dass jeder individuell ist.;4+;Mode aus verschiedenen Ländern anschauen, „Wir sind alle einzigartig“-Kunstprojekt, Verkleidungskiste.
Das Kind sagt, dass Jungs nicht mit Puppen spielen dürfen.;Ethik und Gesellschaft;Gesellschaft;Rollenbilder;Das Kind erkennt, dass jeder alles spielen darf.;4+;Geschichten über Geschlechterrollen, „Alle dürfen alles“-Spiel, Vorbilder in verschiedenen Berufen anschauen.
Das Kind fragt, warum manche Menschen im Rollstuhl sitzen.;Ethik und Gesellschaft;Gesellschaft;Inklusion;Das Kind versteht, dass Menschen unterschiedliche Bedürfnisse haben.;4+;Rollstuhl-Parcours, Bilderbuch „Ich bin wie du“, Besuch einer inklusiven Einrichtung.
Das Kind beschwert sich, dass ein anderes Kind kein Deutsch spricht.;Ethik und Gesellschaft;Gesellschaft;Interkulturalität;Das Kind erkennt, dass Sprache vielfältig ist.;4+;Begrüßungen in verschiedenen Sprachen lernen, Lied: „Hallo, bonjour, ciao“.
Das Kind fragt, warum arme Menschen keine Spielsachen haben.;Ethik und Gesellschaft;Ethik;Soziales Bewusstsein;Das Kind erkennt soziale Ungleichheiten.;4+;Spendenaktion für Kinder, Geschichte über Armut, Gesprächsrunde über Gerechtigkeit.
Das Kind zeigt Interesse an verschiedenen Kulturen und Traditionen.;Ethik und Gesellschaft;Gesellschaft;Vielfalt, Inklusion;Förderung von Vielfalt und Inklusion.;5+ Jahre;Kulturtag mit Speisen aus verschiedenen Ländern, landestypische Tänze lernen, Begrüßungen in anderen Sprachen üben.
Das Kind fragt nach dem Sinn von Festen und Feiertagen.;Ethik und Gesellschaft;Gesellschaft;Traditionen, Werte;Entwicklung von Interesse an Traditionen und Werten.;4+ Jahre;Jahreszeiten- und Festekalender gestalten, Lieder und Bräuche kennenlernen, Festtagserzählungen.
