Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter;Impuls oder Aktivität
Das Kind malt ein Bild mit vielen Farben und Formen.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Bildnerisches Gestalten;Förderung der Kreativität und des Ausdrucks;3+ Jahre;Freies Malen mit verschiedenen Materialien, Farbexperimente, Malen nach Musik, Gestalten von Mandalas, Ausstellungen besuchen.
Das Kind singt ein Lied und erfindet eigene Strophen.;Ästhetik und Gestaltung;Musik;Musikalische Früherziehung;Förderung der musikalischen Kreativität und des Rhythmusgefühls;4+ Jahre;Singen von Liedern, Instrumente ausprobieren, eigene Lieder erfinden, Musik-Memory, Tanzspiele.
Das Kind spielt eine Szene aus einem Märchen nach.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Fantasie und des sozialen Miteinanders;5+ Jahre;"Märchen nachspielen, Handpuppen-Theater, Verkleiden, Improvisationstheater, Schattentheater, Kreispiel ""Ich bin in den Brunnen gefallen""."
Das Kind formt Figuren aus Ton oder Knete.;Ästhetik und Gestaltung;Kunst;Plastisches Gestalten;Förderung der Feinmotorik und des räumlichen Denkens;3+ Jahre;Arbeiten mit Ton, Knete, Salzteig, Modellieren nach Vorlage, freies Gestalten, Töpfern.
Das Kind tanzt zu Musik und erfindet eigene Bewegungen.;Ästhetik und Gestaltung;Musik;Bewegung und Tanz;Förderung des Körpergefühls und der Koordination;4+ Jahre;Freies Tanzen, Tanzspiele, Choreografien nachahmen, Tanzen mit Tüchern, Bewegungslieder.
Das Kind gestaltet ein Bühnenbild für ein Theaterstück.;Ästhetik und Gestaltung;Theaterspiel;Bühnenbildgestaltung;Förderung der Kreativität und des räumlichen Vorstellungsvermögens;5+ Jahre;Bauen von Kulissen, Malen von Hintergründen, Gestalten mit verschiedenen Materialien, Licht- und Schattenspiele.
Das Kind malt ein Selbstporträt.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Selbstwahrnehmung;Förderung des Selbstbewusstseins und der Identitätsentwicklung;4+ Jahre;Spiegelspiele, Fotos anschauen, über sich selbst sprechen, Malen nach Vorlage, freies Gestalten.
Das Kind spielt ein Instrument und lernt Noten kennen.;Ästhetik und Gestaltung;Musik;Instrumentenkunde;Förderung der musikalischen Fähigkeiten und des Notenverständnisses;5+ Jahre;Instrumente ausprobieren, Noten lesen lernen, einfache Lieder spielen, Musikspiele, Konzerte besuchen.
Das Kind erfindet eine eigene Geschichte und spielt sie vor.;Ästhetik und Gestaltung;Theaterspiel;Erzählen und Darstellen;Förderung der Fantasie und der sprachlichen Fähigkeiten;5+ Jahre;"Geschichten erzählen, Rollenspiele, Improvisationstheater, Puppenspiele, Kreispiel ""Ich bin in den Brunnen gefallen""."
Das Kind singt im Chor und lernt mehrstimmige Lieder.;Ästhetik und Gestaltung;Musik;Chorisches Singen;Förderung des Gemeinschaftsgefühls und der musikalischen Fähigkeiten;5+ Jahre;Singen von Liedern, Kanons, mehrstimmigen Liedern, Musikspiele, Konzerte besuchen.
Das Kind spielt ein Rollenspiel und schlüpft in verschiedene Rollen.;Ästhetik und Gestaltung;Theaterspiel;Rollenspiel;Förderung der Empathie und des sozialen Miteinanders;5+ Jahre;"Rollenspiele, Improvisationstheater, Puppenspiele, Märchen nachspielen, Kreispiel ""Ich bin in den Brunnen gefallen""."
Das Kind gestaltet ein Gemeinschaftsbild.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Gemeinschaftsarbeit;Förderung der Zusammenarbeit und des sozialen Miteinanders;4+ Jahre;Gemeinsames Malen, Collagen gestalten, Wandbilder malen, Projekte planen und durchführen.
Das Kind hört verschiedene Musikstücke und erkennt Instrumente.;Ästhetik und Gestaltung;Musik;Musik hören und verstehen;Förderung der musikalischen Wahrnehmung und des Instrumentenverständnisses;5+ Jahre;Musik hören, Instrumente erkennen, Musikspiele, Konzerte besuchen, Klanggeschichten.
Das Kind spielt ein Theaterstück vor Publikum.;Ästhetik und Gestaltung;Theaterspiel;Aufführung;Förderung des Selbstbewusstseins und der Bühnenpräsenz;6+ Jahre;"Theaterstücke einstudieren, Bühnenbilder gestalten, Kostüme entwerfen, vor Publikum auftreten, Kreispiel ""Ich bin in den Brunnen gefallen""."
Das Kind malt mit Fingerfarben.;Ästhetik und Gestaltung;Bildnerisches Gestalten;Freies Malen;Förderung der sensorischen Wahrnehmung und der Kreativität;3+ Jahre;Malen mit Fingerfarben, Schwämmen, Pinseln, Naturmaterialien, Farbexperimente, freies Gestalten.
Das Kind spielt Rhythmusinstrumente und lernt Rhythmen kennen.;Ästhetik und Gestaltung;Musik;Rhythmik;Förderung des Rhythmusgefühls und der Koordination;4+ Jahre;Rhythmusinstrumente spielen, Rhythmusspiele, Bewegungslieder, Bodypercussion, Klanggeschichten.
Das Kind erfindet eine eigene Figur und spielt sie im Theater.;Ästhetik und Gestaltung;Theaterspiel;Figurentheater;Förderung der Fantasie und der kreativen Gestaltung;5+ Jahre;Handpuppen-Theater, Schattentheater, Marionetten-Theater, Figurenbau, Improvisationstheater.
