Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind beobachtet fasziniert Ameisen beim Bau ihres Hügels.;Natur und Technik;Natur;Biologische Prozesse;Förderung des Interesses an Naturphänomenen;4+ Jahre;"Ameisenhaufen beobachten, Insektenhotel bauen, Lupe zur Beobachtung nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit Wasser und verschiedenen Gefäßen.;Natur und Technik;Technik;Physikalische Grundlagen;Förderung des Verständnisses für physikalische Zusammenhänge;4+ Jahre;"Wasserbahn bauen, Schwimmversuche mit verschiedenen Materialien, Experimente mit Eis und Wärme, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind baut mit Begeisterung komplizierte Konstruktionen aus Legosteinen.;Natur und Technik;Technik;Konstruktionsfähigkeiten;Förderung der räumlichen Vorstellungskraft und der Konstruktionsfähigkeiten;5+ Jahre;"Baupläne lesen und umsetzen, eigene Baupläne entwerfen, Wettbewerb ""Höchster Turm"", Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt großes Interesse an Wetterphänomenen und fragt nach deren Ursachen.;Natur und Technik;Natur;Meteorologie;Förderung des Verständnisses für Wetterzusammenhänge;5+ Jahre;"Wetterstation bauen, Regenmesser aufstellen, Wolken beobachten und benennen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind untersucht mit einer Lupe verschiedene Pflanzen und Insekten.;Natur und Technik;Natur;Biologische Vielfalt;Förderung des Interesses an der Vielfalt der Natur;4+ Jahre;"Pflanzen bestimmen, Insekten fangen und beobachten, Mikroskop nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an technischen Geräten und fragt nach deren Funktionsweise.;Natur und Technik;Technik;Funktionsprinzipien;Förderung des Verständnisses für technische Zusammenhänge;5+ Jahre;"Geräte auseinandernehmen und wieder zusammensetzen, Modelle bauen, Besuch im Technikmuseum, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit verschiedenen Materialien und deren Eigenschaften.;Natur und Technik;Technik;Materialkunde;Förderung des Verständnisses für Materialeigenschaften;4+ Jahre;"Experimente mit Magneten, Experimente mit Säuren und Basen, Werkstatt nutzen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an astronomischen Phänomenen und fragt nach Sternen und Planeten.;Natur und Technik;Natur;Astronomie;Förderung des Interesses an der Erforschung des Weltraums;6+ Jahre;"Sternbilder beobachten, Teleskop nutzen, Besuch im Planetarium, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache Maschinen und Fahrzeuge.;Natur und Technik;Technik;Mechanik;Förderung des Verständnisses für mechanische Zusammenhänge;5+ Jahre;"Zahnradgetriebe bauen, Flaschenzüge konstruieren, Fahrzeuge mit Gummibandantrieb bauen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an chemischen Experimenten und fragt nach deren Ergebnissen.;Natur und Technik;Technik;Chemie;Förderung des Interesses an chemischen Prozessen;6+ Jahre;"Experimente mit Lebensmittelfarben, Experimente mit Backpulver, Experimente mit pH-Wert-Indikatoren, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert Tiere in ihrem natürlichen Lebensraum.;Natur und Technik;Natur;Ökologie;Förderung des Interesses an ökologischen Zusammenhängen;5+ Jahre;"Exkursionen in den Wald, Besuch im Zoo, Tierfährten suchen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an geologischen Phänomenen und fragt nach Steinen und Fossilien.;Natur und Technik;Natur;Geologie;Förderung des Interesses an der Erforschung der Erde;6+ Jahre;"Steine sammeln und bestimmen, Fossilien suchen, Besuch im Naturkundemuseum, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache elektrische Schaltungen.;Natur und Technik;Technik;Elektrotechnik;Förderung des Verständnisses für elektrische Zusammenhänge;6+ Jahre;"Stromkreise mit Glühbirnen bauen, Experimente mit Magneten und Strom, Besuch im Elektrizitätswerk, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an der Funktionsweise des menschlichen Körpers und fragt nach Organen und Körperfunktionen.;Natur und Technik;Natur;Biologie (Mensch);Förderung des Verständnisses für biologische Zusammenhänge;6+ Jahre;"Modelle von Organen bauen, Besuch im Körperwelten-Museum, Experimente mit Atmung und Puls, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind experimentiert mit verschiedenen Energiequellen und deren Nutzung.;Natur und Technik;Technik;Energietechnik;Förderung des Verständnisses für Energieumwandlung;6+ Jahre;"Windräder bauen, Solarmodelle konstruieren, Experimente mit Brennstoffzellen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert das Wachstum von Pflanzen und fragt nach deren Bedürfnissen.;Natur und Technik;Natur;Botanik;Förderung des Interesses an Pflanzenwachstum;5+ Jahre;"Samen säen und beobachten, Pflanzen pflegen, Besuch im botanischen Garten, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache Roboter und programmiert deren Bewegungen.;Natur und Technik;Technik;Robotik;Förderung des Verständnisses für Robotik und Programmierung;6+ Jahre;"Roboter aus Bausätzen bauen, Roboter mit einfachen Programmen steuern, Wettbewerb ""Roboterparcours"", Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind zeigt Interesse an der Funktionsweise von Computern und fragt nach deren Programmen.;Natur und Technik;Technik;Informatik;Förderung des Verständnisses für Informatik;6+ Jahre;"Einfache Programme schreiben, Spiele programmieren, Besuch im Computerraum, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind beobachtet fasziniert die Bewegung von Wolken und fragt nach deren Entstehung.;Natur und Technik;Natur;Meteorologie;Förderung des Interesses an Wetterphänomenen;5+ Jahre;"Wolkenbilder malen, Wolkenarten bestimmen, Experimente mit Luftströmungen, Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
Das Kind konstruiert mit Begeisterung einfache Brücken und Gebäude.;Natur und Technik;Technik;Statik;Förderung des Verständnisses für Statik;6+ Jahre;"Brücken aus Papier bauen, Gebäude aus Holzklötzen konstruieren, Wettbewerb ""Stabilste Konstruktion"", Lied: ""Eins zwei drei im Sauseschritt"", Ausflug ins Altersheim, Fußballspiel im Garten."
