Beobachtung;Entwicklungsbereich;Teilbereich;Unterbereich;Ziel;Alter (Jahre);Aktivität/Impuls
Das Kind klettert selbstständig auf eine Kletterwand;Bewegung und Gesundheit;Bewegung;Grobmotorik, Kraft;Förderung der Muskelkraft und Koordination;4+ Jahre;Klettergerüst, Kletterwand im Park besuchen, Kletterwettbewerb veranstalten
Das Kind balanciert auf einer umgedrehten Bank;Bewegung und Gesundheit;Bewegung;Gleichgewichtssinn;Förderung der Körperspannung und des Gleichgewichts;3+ Jahre;Balancierparcours, Slackline, „Über die Brücke“ (Spiel mit Seilen und Stangen)
Das Kind schaukelt sich selbstständig an und kann sich dabei gut festhalten;Bewegung und Gesundheit;Bewegung;Grobmotorik, Koordination;Förderung der Körperkontrolle und Muskelkraft;2+ Jahre;Schaukelwettbewerb, Schaukelspiele (z. B. „Wie hoch kannst du schwingen?“), gemeinsam schaukeln
Das Kind liebt es, auf Bäume zu klettern;Bewegung und Gesundheit;Bewegung;Motorische Geschicklichkeit;Förderung der Körperkontrolle und Kraft;4+ Jahre;Kletterbäume im Park besuchen, Kletterwand im Innenraum, Klettergarten-Ausflug
Das Kind macht Purzelbäume auf der Wiese;Bewegung und Gesundheit;Bewegung;Körperkoordination;Förderung der Beweglichkeit und Körperkontrolle;3+ Jahre;Turnmatten-Rollen, Purzelbaum-Wettbewerb, Hindernisparcours mit Purzelbäumen
Das Kind hüpft einbeinig über Steine;Bewegung und Gesundheit;Bewegung;Gleichgewicht und Koordination;Verbesserung der einbeinigen Balance und Körperkontrolle;3+ Jahre;Gummitwist, Hüpfspiele (Himmel und Hölle), Seilspringen
Das Kind versucht, rückwärts zu laufen;Bewegung und Gesundheit;Bewegung;Orientierung im Raum;Förderung der Körperwahrnehmung und Koordination;4+ Jahre;Fangspiele mit rückwärts Laufen, „Rückwärts-Tanz“, Spiegel-Lauf (nachmachen, was der Partner tut)
Das Kind rennt um die Wette mit anderen Kindern;Bewegung und Gesundheit;Bewegung;Ausdauer;Förderung von Schnelligkeit und Kondition;3+ Jahre;Wettrennen im Garten, Staffellauf, „Fang den Ball“
Das Kind zeigt Freude am Springen über Pfützen;Bewegung und Gesundheit;Bewegung;Sprungkraft;Förderung der Sprungkoordination und Balance;3+ Jahre;Gummistiefel-Wettspringen, Hüpfekästchen, Trampolinspringen
Das Kind benennt seine Gefühle und kann sie in verschiedenen Situationen zuordnen.;Soziales und kulturelles Leben;Soziale Kompetenz;Gefühlswahrnehmung;Förderung der emotionalen Kompetenz und der Fähigkeit, Gefühle zu benennen und auszudrücken;3+;Gesprächskreise, in denen Gefühle thematisiert werden
Das Kind äußert seine Bedürfnisse klar und deutlich und kann diese auch begründen.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Selbstbehauptung;Förderung der Selbstbehauptung und der Fähigkeit, eigene Bedürfnisse auszudrücken;4+;Rollenspiele, in denen das Kind seine Wünsche äußert
Das Kind zeigt Stolz auf seine eigenen Leistungen und kann diese auch anderen präsentieren.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Selbstwertgefühl;Stärkung des Selbstwertgefühls und der Selbstwirksamkeit;4+;Präsentationen, in denen das Kind seine Arbeiten vorstellt
Das Kind vermeidet Blickkontakt und wirkt unsicher im Umgang mit anderen.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Soziale Interaktion;Förderung des sozialen Kontakts und des Selbstvertrauens;3+ Jahre;Gemeinsame Spiele, Partnerübungen, Rollenspiele mit klaren Vorgaben
Das Kind zeigt wenig Interesse an gemeinsamen Aktivitäten und spielt lieber alleine.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Gemeinschaftsfähigkeit;Förderung der Integration und des Gemeinschaftsgefühls;4+ Jahre;Gemeinschaftsprojekte, Gruppenpuzzle, Partneraufgaben, Kreisspiele
Das Kind reagiert aggressiv auf Konflikte und hat Schwierigkeiten, Kompromisse zu finden.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Konfliktbewältigung;Förderung der Konfliktfähigkeit und der Empathie;5+ Jahre;Rollenspiele mit Konfliktsituationen, Gesprächsrunden, Friedensspiele, Mediation
Das Kind zeigt wenig Empathie und hat Schwierigkeiten, sich in andere hineinzuversetzen.;Emotionen und soziale Beziehungen;Soziale Kompetenz;Empathie;Förderung des Einfühlungsvermögens und der Rücksichtnahme;4+ Jahre;Rollenspiele mit Perspektivwechsel, Geschichten erzählen, Gefühle-Karten spielen, Bilderbücher vorlesen
